Gender,Age,Years of programming experience,Years of experience in agile projects,GPA,Highest level of education,Willingness to travel,Performance after 1 year
1,28,8,3,2.824993573317386,1,1,1
1,32,6,0,3.507113004429692,0,0,1
1,20,0,0,2.3,3,0,0
1,20,0,0,2.078504693582098,0,0,1
1,36,2,0,2.8994069227394905,1,0,1
0,30,2,0,3.0,2,0,0
0,20,0,0,3.1,1,0,0
1,27,0,0,2.7425369554446313,2,1,1
0,36,11,5,2.8,1,1,0
0,28,5,0,3.32468130312043,2,0,1
1,55,29,21,3.4692858995038947,1,0,1
1,34,11,7,3.4542046614654414,0,1,1
1,33,12,9,3.1602838162949087,2,1,1
0,29,2,0,3.0,2,0,0
0,51,25,22,2.8779721763187824,2,0,1
1,28,1,0,2.6647598744561805,3,0,1
0,39,8,1,2.9,2,1,0
1,37,14,11,2.5,2,0,0
0,20,0,0,3.0,1,0,0
0,37,14,12,2.9,2,0,0
1,31,7,6,3.2459761569833856,1,1,1
0,37,7,2,2.5,1,0,0
0,31,10,2,3.048882994168869,1,0,1
0,26,2,0,2.975468763559193,2,0,1
1,37,10,9,2.9,2,0,0
0,25,0,0,2.9,2,0,0
1,26,2,0,3.502206674839208,2,0,1
1,20,0,0,3.603373457638841,0,1,1
1,38,16,11,3.067592547986101,2,1,1
0,31,7,1,3.220955223868083,2,0,1
1,21,0,0,3.379790587452013,0,1,1
0,31,4,0,3.1,1,1,0
1,30,2,0,3.19750526148257,2,0,1
0,28,1,0,2.9,1,1,0
0,48,24,21,2.5,2,1,0
1,38,11,9,3.4635810385762733,0,0,1
1,35,8,0,3.1637403894811884,1,0,1
0,31,1,0,2.9,1,1,0
0,29,8,6,2.8966027570392208,2,0,1
1,49,19,18,3.096284850692639,1,0,1
1,29,5,0,2.6,3,0,0
1,20,0,0,3.505036661826493,2,1,1
0,27,0,0,2.7,2,1,0
0,46,24,16,3.0970116185668397,2,0,1
1,38,16,12,3.166015785875566,3,1,1
1,47,18,17,2.8,2,0,0
0,20,0,0,3.0051658153072007,2,0,1
0,24,4,2,3.2502296373249493,1,0,1
0,46,20,16,3.1,2,0,0
0,41,13,1,2.9,1,0,0
1,20,0,0,2.8821741912806917,1,1,1
0,40,10,7,2.8,1,0,0
1,24,0,0,2.8,2,0,0
1,38,16,9,3.5037468998394417,0,0,1
0,43,13,7,3.0,2,1,0
1,36,15,10,3.167716600462676,4,1,1
0,36,6,3,2.6331258548867273,2,1,1
1,33,7,0,2.9,2,0,0
1,48,28,20,2.647681595404782,0,1,1
1,44,18,14,2.399399746685045,0,0,1
1,31,9,4,2.907454932070838,1,0,1
1,20,0,0,4.0,2,0,1
1,20,0,0,3.216627068226756,1,0,1
1,37,12,10,3.7313468436675574,3,1,1
1,29,4,3,3.613330621569993,2,1,1
1,31,8,5,2.705689312398187,2,0,1
0,27,0,0,3.0477698260827135,2,0,1
1,42,17,16,3.2637366272128374,1,0,1
1,24,0,0,3.1516872541850884,3,0,1
1,35,7,6,2.3154627284915783,2,0,1
1,34,11,10,3.0,1,1,0
1,22,0,0,3.311550938343072,1,0,1
0,24,0,0,3.0289242319270557,2,0,1
1,37,12,9,3.2,1,0,0
1,51,23,18,2.9,2,0,0
0,34,3,0,3.4,1,0,0
1,24,0,0,3.172772398186816,1,0,1
0,20,0,0,2.7,1,0,0
1,24,0,0,2.816770877241201,1,0,1
0,26,0,0,3.1,2,0,0
1,20,0,0,2.677025960561278,2,0,1
0,34,11,9,2.9,2,1,0
0,32,12,6,3.1,2,0,0
1,34,10,6,2.7,3,0,0
1,41,6,3,2.6,2,1,0
0,32,7,0,3.1,1,0,0
0,20,0,0,2.8,1,1,0
1,32,6,0,3.2670463321421517,0,0,1
1,40,14,11,2.967328242194011,1,1,1
0,32,5,1,3.0,1,0,0
1,37,13,5,3.0284939534526223,3,1,1
0,35,11,7,2.7,2,0,0
1,33,12,10,3.199666991678177,0,1,1
1,40,19,10,2.841257461044729,1,0,1
